"alt.1.BLOCK","alt.1.QES","alt.1.ALT","alt.1.Additives","alt.1.Nutrition","alt.1.Format","alt.1.Carbon","alt.1.Vegan","alt.1.Price","alt.2.BLOCK","alt.2.QES","alt.2.ALT","alt.2.Additives","alt.2.Nutrition","alt.2.Format","alt.2.Carbon","alt.2.Vegan","alt.2.Price"
1,1,1,"With","40g","Ready","No","No","6.0",1,1,2,"Without","25g","Raw","20%","Yes","3.5"
1,2,1,"Without","40g","Raw","No","No","3.5",1,2,2,"With","25g","Ready","20%","Yes","4.5"
1,3,1,"Without","25g","Ready","No","No","4.5",1,3,2,"With","40g","Raw","20%","Yes","6.0"
1,4,1,"Without","25g","Raw","20%","No","6.0",1,4,2,"With","40g","Ready","No","Yes","3.5"
1,5,1,"With","40g","Raw","20%","No","4.5",1,5,2,"Without","25g","Ready","No","Yes","6.0"
1,6,1,"Without","40g","Ready","20%","No","6.0",1,6,2,"With","25g","Raw","No","Yes","3.5"
1,7,1,"With","25g","Ready","20%","Yes","3.5",1,7,2,"Without","40g","Raw","No","No","4.5"
1,8,1,"With","40g","Ready","No","Yes","6.0",1,8,2,"Without","25g","Raw","20%","No","3.5"
1,9,1,"With","25g","Ready","No","No","3.5",1,9,2,"Without","40g","Raw","20%","Yes","4.5"
1,10,1,"Without","40g","Raw","No","Yes","6.0",1,10,2,"With","25g","Ready","20%","No","3.5"
1,11,1,"Without","25g","Raw","No","No","3.5",1,11,2,"With","40g","Ready","20%","Yes","4.5"
1,12,1,"With","25g","Raw","20%","No","4.5",1,12,2,"Without","40g","Ready","No","Yes","6.0"
1,13,1,"With","40g","Raw","20%","Yes","4.5",1,13,2,"Without","25g","Ready","No","No","6.0"
1,14,1,"With","25g","Raw","No","Yes","4.5",1,14,2,"Without","40g","Ready","20%","No","6.0"
1,15,1,"With","40g","Ready","20%","Yes","3.5",1,15,2,"Without","25g","Raw","No","No","4.5"
1,16,1,"Without","25g","Ready","No","Yes","4.5",1,16,2,"With","40g","Raw","20%","No","6.0"
1,17,1,"With","25g","Ready","20%","No","6.0",1,17,2,"Without","40g","Raw","No","Yes","3.5"
1,18,1,"Without","25g","Raw","20%","Yes","6.0",1,18,2,"With","40g","Ready","No","No","3.5"
1,19,1,"Without","40g","Raw","20%","Yes","3.5",1,19,2,"With","25g","Ready","No","No","4.5"
1,20,1,"Without","25g","Ready","20%","Yes","3.5",1,20,2,"With","40g","Raw","No","No","4.5"
1,21,1,"Without","40g","Ready","20%","No","4.5",1,21,2,"With","25g","Raw","No","Yes","6.0"
1,22,1,"With","40g","Raw","No","No","3.5",1,22,2,"Without","25g","Ready","20%","Yes","4.5"
1,23,1,"Without","40g","Ready","No","Yes","4.5",1,23,2,"With","25g","Raw","20%","No","6.0"
1,24,1,"With","25g","Raw","No","Yes","6.0",1,24,2,"Without","40g","Ready","20%","No","3.5"
